--,‒
---,—
-->,→
/!\,⚠
//>,↗
:%:,‰
:+-:,±
:+/-:,±
:---:,—
:/!\:,⚠
://>:,↗
:/>:,↗
:1/10:,⅒
:1/2:,½
:1/3:,⅓
:1/4:,¼
:1/5:,⅕
:1/6:,⅙
:1/7:,⅐
:1/8:,⅛
:1/9:,⅑
:2/3:,⅔
:2/5:,⅖
:3/4:,¾
:3/5:,⅗
:3/8:,⅜
:4/5:,⅘
:5/6:,⅚
:5/8:,⅝
:7/8:,⅞
:<<:,≪
:<=:,≤
:=<:,≤
:=>:,≥
:>:,›
:>=:,≥
:>>:,≫
:Alpha:,Α
:Beta:,Β
:Chi:,Χ
:Delta:,Δ
:E2:,⇒
:E:,→
:Epsilon:,Ε
:Eta:,Η
:Gamma:,Γ
:Iota:,Ι
:Kappa:,Κ
:Lambda:,Λ
:Mu:,Μ
:N2:,⇑
:N:,↑
:Nu:,Ν
:Omega:,Ω
:Omicron:,Ο
:Phi:,Φ
:Pi:,Π
:Psi:,Ψ
:Rho:,Ρ
:S2:,⇓
:S:,↓
:Sigma:,Σ
:Tau:,Τ
:Theta:,Θ
:Upsilon:,Υ
:W2:,⇐
:W:,←
:Xi:,Ξ
:Zeta:,Ζ
:_>:,↘
:__>:,↘
:__a:,α
:_a:,α
:a:,α
:alpha:,α
:angle:,∠
:approx:,≈
:beta:,β
:box:,☐
:cap:,∩
:cent:,¢
:chi:,χ
:cubert:,∛
:cup:,∪
:dagger:,†
:ddagger:,‡
:deg:,°
:delta:,δ
:div:,÷
:dot:,·
:downarrow:,↓
:else:,¬
:emptyset:,∅
:epsilon:,ε
:equiv:,≡
:eta:,η
:euro:,€
:exists:,∃
:fem:,♀
:female:,♀
:femme:,♀
:forall:,∀
:gamma:,γ
:geq:,≥
:hbar:,ℏ
:hom:,♂
:homme:,♂
:in:,∈
:infty:,∞
:integral:,∫
:iota:,ι
:jamais:,∅
:kappa:,κ
:lambda:,λ
:leq:,≤
:lira:,₤
:male:,♂
:mp:,∓
:mu:,μ
:nabla:,∇
:nearrow:,↗
:neg:,¬
:neq:,≠
:next:,›
:ni:,∋
:nu:,ν
:omega:,ω
:omicron:,ο
:paragraph:,¶
:parfois:,◊
:partial:,∂
:pas:,∅
:permil:,‰
:perpendiculaire:,⟂
:peso:,₱
:phi:,φ
:pi:,π
:pm:,±
:pound:,£
:propto:,∝
:psi:,ψ
:psy:,ψ
:rho:,ρ
:ruble:,₽
:rupee:,₹
:searrow:,↘
:section:,§
:sigma:,σ
:sinon:,¬
:sqrt:,√
:stop:,↕
:subset:,⊂
:subseteq:,⊆
:supset:,⊃
:supseteq:,⊇
:tau:,τ
:therefore:,∴
:theta:,θ
:times:,×
:uparrow:,↑
:updownarrow:,↕
:upsilon:,υ
:v:,›
:vee:,∨
:w:,›
:wedge:,∧
:won:,₩
:xi:,ξ
:yen:,¥
:yuan:,¥
:zeta:,ζ
<--,←
<-->,↔
<==,⇐
==>,⇒
__>,↘
__a,α
